File Path,Container,Video Codec,Resolution,File Size (MB),Audio Codec,Audio Channels
"/pool/Movies/Ai Weiwei Never Sorry (2012)/Ai Weiwei Never Sorry (2012) Bluray-1080p 84169.mp4",mp4,hevc,1920x1080,1450,aac,6
"/pool/Movies/The Batman (2022)/The Batman (2022) Bluray-1080p Proper 414906.mkv",mkv,hevc,1920x804,7225,aac,8
"/pool/Movies/Interstella 5555 The 5tory of the 5ecret 5tar 5ystem (2003)/Interstella 5555 The 5tory of the 5ecret 5tar 5ystem (2003) Bluray-1080p 11049.mkv",mkv,hevc,1416x1080,2448,eac3,6
"/pool/Movies/North by Northwest (1959)/North by Northwest (1959) Bluray-1080p 213.mkv",mkv,hevc,1920x1080,5868,truehd,6
"/pool/Movies/The Inspection (2022)/The Inspection (2022) Bluray-1080p 837938.mkv",mkv,hevc,1920x804,3723,aac,6
"/pool/Movies/Timecop (1994)/Timecop (1994) Bluray-1080p 8831.mkv",mkv,hevc,1920x816,1653,aac,6
"/pool/Movies/Nightcrawler (2014)/Nightcrawler (2014) Bluray-1080p Proper 242582.mkv",mkv,hevc,1920x800,5082,aac,6
"/pool/Movies/Song of the Sea (2014)/Song of the Sea (2014) Bluray-1080p 110416.mkv",mkv,hevc,1920x1040,4111,aac,6
"/pool/Movies/Fear and Loathing in Las Vegas (1998)/Fear and Loathing in Las Vegas (1998) Bluray-1080p 1878.mkv",mkv,hevc,1920x820,5564,aac,6
"/pool/Movies/I'm Your Man (2021)/I'm Your Man (2021) Bluray-1080p 795813.mkv",mkv,hevc,1920x960,4248,aac,6
"/pool/Movies/Killing Them Softly (2012)/Killing.Them.Softly.2012.1080p.BluRay.x265-RARBG.mp4",mp4,hevc,1920x800,1550,aac,6
"/pool/Movies/Labyrinth (1986)/Labyrinth (1986) Bluray-1080p 13597.mkv",mkv,hevc,1920x808,3373,eac3,6
"/pool/Movies/Superman (2025)/Superman (2025) [plexflix].mkv",mkv,hevc,1920x1080,3328,eac3,2
"/pool/Movies/A Quiet Place Day One (2024)/A Quiet Place Day One (2024) Bluray-1080p 762441.mkv",mkv,hevc,1920x800,6775,eac3,8
"/pool/Movies/Star Trek Section 31 ()/Star Trek Section 31 (2025) WEBDL-1080p 1114894.mkv",mkv,hevc,1920x804,1254,aac,6
"/pool/Movies/The Naked Gun 2½ The Smell of Fear (1991)/The Naked Gun 2½ The Smell of Fear (1991) Bluray-1080p 37137.mkv",mkv,hevc,1920x1080,5267,aac,6
"/pool/Movies/Bushworld Adventures (2018)/Bushworld Adventures _ Adult Swim-v6yg4ImnYwA.mkv",mkv,vp9,1920x1080,105,aac,2
"/pool/Movies/From Up on Poppy Hill (2011)/From Up on Poppy Hill (2011) Bluray-1080p 83389.mkv",mkv,hevc,1920x1040,3902,eac3,6
"/pool/Movies/Black Rain (1989)/Black Rain (1989) Bluray-1080p 4105.mkv",mkv,hevc,1920x1080,3955,eac3,6
"/pool/Movies/When Evil Lurks (2023)/When Evil Lurks (2023) WEBDL-1080p Proper 744857.mkv",mkv,hevc,1920x800,3489,eac3,6
"/pool/Movies/Sin City (2005)/Sin City (2005) Bluray-1080p 187.mp4",mp4,hevc,1920x1040,2262,aac,6
"/pool/Movies/Road House (1989)/Road House (1989) Bluray-1080p 10135.mkv",mkv,hevc,1920x818,6144,aac,6
"/pool/Movies/Best in Show (2000)/Best in Show (2000) Bluray-1080p 13785.mkv",mkv,hevc,1920x1040,4230,aac,6
"/pool/Movies/Seven Pounds (2008)/Seven Pounds (2008) Bluray-1080p 11321.mp4",mp4,hevc,1920x800,1962,aac,6
"/pool/Movies/The Truman Show (1998)/The Truman Show (1998) (1080p WEB-DL x265 HDR afm72).mkv",mkv,hevc,1920x1038,4605,aac,6
